ID,Region,Country,City,Latitude,Longitude,Activity,Description,Category,Difficulty,Skill_Tier,Tier_Level,Indoor_Outdoor,Popularity,Duration,Price_Range,Frequency,Equipment_Needed
20,Africa,Kenya,Mombasa,-24.4609,92.8019,homegrown food,"Experience the joy of homegrown food in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Wellness,Intermediate,Tier 2,2,Indoor,3,1 hour,$,Seasonal,"gloves, planter, seeds"
21,Africa,Kenya,Mombasa,-37.6169,24.0409,metal crafting,"Experience the joy of metal crafting in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Lifestyle,Advanced,Tier 3,3,Outdoor,3,30 min,$,Seasonal,"forge, tongs, grinder"
22,Americas,Mexico,Monterrey,-12.8614,-38.6316,personal planning,"In Monterrey, Mexico, participants can explore personal planning through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Automotive,Easy,Tier 1,1,Indoor,1,Half day,$,Weekly,"notebook, pen, phone"
23,Africa,Kenya,Nairobi,58.7939,116.8383,reading,"Reading sessions in Nairobi, Kenya, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Outdoor,3,2 hours,$$$,Daily,"book, lamp, chair"
24,Europe,Sweden,Malmö,50.2239,-79.3688,self-care tutorial,"In Malmö, Sweden, participants can explore self-care tutorial through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Culture,Intermediate,Tier 2,2,Outdoor,3,2 hours,$$$,Monthly,"wax, sponge, bucket"
25,Asia,Japan,Sapporo,-11.6274,131.6892,arts and crafts,"Arts and crafts sessions in Sapporo, Japan, offer creativity, culture, and community learning.",Crafts,Intermediate,Tier 2,2,Indoor,5,30 min,$,Monthly,"canvas, paint, brush set"
26,Europe,Germany,Berlin,9.6884,-54.6423,pottery,"Experience the joy of pottery in Berlin, Germany, surrounded by supportive mentors and local tradition.",Culture,Advanced,Tier 3,3,Outdoor,2,30 min,$$,Seasonal,"clay, wheel, apron"
27,Africa,Kenya,Kisumu,30.3296,128.1518,book club,"In Kisumu, Kenya, participants can explore book club through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Food,Intermediate,Tier 2,2,Outdoor,1,Half day,$$$,Daily,"notebook, pen, reading glasses"
28,Africa,Kenya,Mombasa,1.5663,11.2266,arts and crafts,"Experience the joy of arts and crafts in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Lifestyle,Advanced,Tier 3,3,Outdoor,1,1 hour,$$,Weekly,"canvas, paint, brush set"
29,Americas,USA,Portland,-39.4785,104.8824,home repair,"Experience the joy of home repair in Portland, USA, surrounded by supportive mentors and local tradition.",Crafts,Intermediate,Tier 2,2,Outdoor,2,1 hour,$,Daily,"wrench, screwdriver, pliers"
30,Americas,USA,Austin,-10.8946,-19.5642,reading,"In Austin, USA, participants can explore reading through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Wellness,Intermediate,Tier 2,2,Outdoor,3,30 min,$$$,Monthly,"book, lamp, chair"
31,Africa,Kenya,Nairobi,-7.5243,-21.6379,car cleaning,"Car cleaning sessions in Nairobi, Kenya, offer creativity, culture, and community learning.",Lifestyle,Intermediate,Tier 2,2,Indoor,5,30 min,$$$,Seasonal,"wax, sponge, bucket"
32,Europe,Sweden,Stockholm,-1.2849,55.1431,local exploration,"In Stockholm, Sweden, participants can explore local exploration through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Culture,Intermediate,Tier 2,2,Indoor,3,2 hours,$,Weekly,"paintbrush, apron, fabric scraps"
33,Oceania,New Zealand,Christchurch,56.3365,77.7291,ceramic sculpting,"Experience the joy of ceramic sculpting in Christchurch, New Zealand, surrounded by supportive mentors and local tradition.",Food,Intermediate,Tier 2,2,Indoor,1,2 hours,$$,Weekly,"kiln, ceramic tools, glaze"
34,Europe,Germany,Berlin,-17.6178,33.2591,DIY car,"Experience the joy of DIY car in Berlin, Germany, surrounded by supportive mentors and local tradition.",Food,Advanced,Tier 3,3,Indoor,3,Half day,$,Daily,"wax, sponge, bucket"
35,Oceania,Australia,Perth,21.0556,-32.4981,painting,"Painting sessions in Perth, Australia, offer creativity, culture, and community learning.",Wellness,Intermediate,Tier 2,2,Outdoor,4,30 min,$$,Daily,"easel, acrylics, palette"
36,Europe,France,Lyon,39.3332,48.0566,local exploration,"In Lyon, France, participants can explore local exploration through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Crafts,Easy,Tier 1,1,Indoor,4,Half day,$,Daily,"paintbrush, apron, fabric scraps"
37,Americas,USA,San Francisco,-39.2698,57.8188,DIY car,"Experience the joy of DIY car in San Francisco, USA, surrounded by supportive mentors and local tradition.",Automotive,Easy,Tier 1,1,Outdoor,1,1 hour,$,Monthly,"wax, sponge, bucket"
38,Americas,Mexico,Cancún,18.6606,-47.585,self-care tutorial,"Self-care tutorial sessions in Cancún, Mexico, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Outdoor,4,2 hours,$$,Seasonal,"wax, sponge, bucket"
39,Americas,Mexico,Guadalajara,11.002,-66.0248,DIY hair and beauty,"Diy hair and beauty sessions in Guadalajara, Mexico, offer creativity, culture, and community learning.",Automotive,Advanced,Tier 3,3,Outdoor,1,30 min,$$,Seasonal,"mirror, hairdryer, comb"
40,Europe,Italy,Rome,11.7414,-52.2304,knife making,"Experience the joy of knife making in Rome, Italy, surrounded by supportive mentors and local tradition.",Culture,Advanced,Tier 3,3,Outdoor,5,1 hour,$,Seasonal,"steel, anvil, hammer"
41,Asia,India,Chennai,22.578,-106.7308,personal planning,"Personal planning sessions in Chennai, India, offer creativity, culture, and community learning.",Technology,Advanced,Tier 3,3,Indoor,4,30 min,$,Weekly,"toolbox, tape measure, gloves"
42,Asia,India,Chennai,-16.5025,-16.3461,ceramic sculpting,"In Chennai, India, participants can explore ceramic sculpting through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Automotive,Intermediate,Tier 2,2,Indoor,1,30 min,$,Seasonal,"kiln, ceramic tools, glaze"
43,Africa,Kenya,Kisumu,5.6978,-51.705,room by room,"Room by room sessions in Kisumu, Kenya, offer creativity, culture, and community learning.",Technology,Intermediate,Tier 2,2,Indoor,3,30 min,$$$,Monthly,"organizer, baskets, storage box"
44,Asia,India,Chennai,18.618,-101.4872,architecture admiration,"Architecture admiration sessions in Chennai, India, offer creativity, culture, and community learning.",Wellness,Advanced,Tier 3,3,Indoor,5,2 hours,$$$,Weekly,"camera, sketchbook, measure tape"
45,Americas,Argentina,Buenos Aires,18.825,98.0225,local exploration,"Experience the joy of local exploration in Buenos Aires, Argentina, surrounded by supportive mentors and local tradition.",Culture,Advanced,Tier 3,3,Indoor,3,2 hours,$,Daily,"paintbrush, apron, fabric scraps"
46,Africa,Kenya,Nairobi,56.281,-62.1987,decluttering,"In Nairobi, Kenya, participants can explore decluttering through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Food,Advanced,Tier 3,3,Outdoor,5,30 min,$$,Seasonal,"camera, map, backpack"
47,Americas,Canada,Vancouver,-37.1522,68.8866,self-care tutorial,"In Vancouver, Canada, participants can explore self-care tutorial through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Crafts,Intermediate,Tier 2,2,Outdoor,3,1 hour,$$,Weekly,"wax, sponge, bucket"
48,Europe,France,Lyon,20.7039,97.0279,jewelry making,"Experience the joy of jewelry making in Lyon, France, surrounded by supportive mentors and local tradition.",Automotive,Easy,Tier 1,1,Outdoor,3,30 min,$,Seasonal,"pliers, wire, beads"
49,Asia,China,Shanghai,49.2019,134.5724,metal crafting,"Metal crafting sessions in Shanghai, China, offer creativity, culture, and community learning.",Culture,Advanced,Tier 3,3,Indoor,5,30 min,$$$,Seasonal,"forge, tongs, grinder"
50,Africa,South Africa,Pretoria,55.513,-82.8564,architecture admiration,"Experience the joy of architecture admiration in Pretoria, South Africa, surrounded by supportive mentors and local tradition.",Crafts,Intermediate,Tier 2,2,Outdoor,5,Half day,$$,Monthly,"camera, sketchbook, measure tape"
51,Americas,Mexico,Cancún,46.1006,33.0852,self-care tutorial,"Self-care tutorial sessions in Cancún, Mexico, offer creativity, culture, and community learning.",Wellness,Easy,Tier 1,1,Indoor,5,Half day,$,Monthly,"wax, sponge, bucket"
52,Americas,Mexico,Monterrey,56.4741,144.8727,tech station,"Experience the joy of tech station in Monterrey, Mexico, surrounded by supportive mentors and local tradition.",Wellness,Easy,Tier 1,1,Outdoor,1,Half day,$,Daily,"soldering iron, circuit board, multimeter"
53,Europe,Spain,Barcelona,-28.4314,-47.501,tech station,"Tech station sessions in Barcelona, Spain, offer creativity, culture, and community learning.",Lifestyle,Easy,Tier 1,1,Outdoor,3,1 hour,$$$,Seasonal,"soldering iron, circuit board, multimeter"
54,Oceania,New Zealand,Wellington,-16.5179,91.0237,cupboard clean out,"Cupboard clean out sessions in Wellington, New Zealand, offer creativity, culture, and community learning.",Lifestyle,Advanced,Tier 3,3,Outdoor,2,1 hour,$,Monthly,"bins, labels, towels"
55,Oceania,Australia,Adelaide,4.5932,109.623,memory journaling,"In Adelaide, Australia, participants can explore memory journaling through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Technology,Easy,Tier 1,1,Outdoor,2,Half day,$,Monthly,"diary, pen, color markers"
56,Africa,South Africa,Johannesburg,21.9683,29.1658,jewelry making,"Jewelry making sessions in Johannesburg, South Africa, offer creativity, culture, and community learning.",Technology,Easy,Tier 1,1,Outdoor,1,Half day,$$,Seasonal,"pliers, wire, beads"
57,Asia,India,Bangalore,29.4622,94.6555,building photography,"Building photography sessions in Bangalore, India, offer creativity, culture, and community learning.",Food,Easy,Tier 1,1,Indoor,1,2 hours,$$,Monthly,"camera, tripod, lens"
58,Oceania,Australia,Brisbane,50.3279,118.139,DIY home,"Diy home sessions in Brisbane, Australia, offer creativity, culture, and community learning.",Technology,Advanced,Tier 3,3,Indoor,4,2 hours,$,Monthly,"camera, map, backpack"
59,Africa,South Africa,Durban,-15.682,21.7067,home repair,"In Durban, South Africa, participants can explore home repair through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Wellness,Advanced,Tier 3,3,Indoor,2,2 hours,$,Daily,"wrench, screwdriver, pliers"
60,Europe,UK,Bristol,24.2322,-65.0177,room by room,"Experience the joy of room by room in Bristol, UK, surrounded by supportive mentors and local tradition.",Culture,Intermediate,Tier 2,2,Indoor,3,1 hour,$$,Seasonal,"organizer, baskets, storage box"
61,Oceania,Australia,Perth,-11.6074,-24.7998,decluttering,"In Perth, Australia, participants can explore decluttering through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Outdoor,3,2 hours,$,Monthly,"notebook, pen, phone"
62,Americas,Argentina,Córdoba,7.8353,-33.9275,leather stitching,"Experience the joy of leather stitching in Córdoba, Argentina, surrounded by supportive mentors and local tradition.",Wellness,Advanced,Tier 3,3,Outdoor,2,2 hours,$,Weekly,"punch, awl, stitching kit"
63,Africa,Kenya,Nairobi,7.2673,-8.8063,personal planning,"Personal planning sessions in Nairobi, Kenya, offer creativity, culture, and community learning.",Technology,Easy,Tier 1,1,Indoor,4,1 hour,$$$,Weekly,"paintbrush, apron, fabric scraps"
64,Africa,South Africa,Durban,23.5198,18.1395,reading,"Reading sessions in Durban, South Africa, offer creativity, culture, and community learning.",Crafts,Easy,Tier 1,1,Outdoor,1,30 min,$,Seasonal,"book, lamp, chair"
65,Oceania,Australia,Brisbane,-37.146,-22.1217,interior organization,"Experience the joy of interior organization in Brisbane, Australia, surrounded by supportive mentors and local tradition.",Technology,Advanced,Tier 3,3,Outdoor,5,30 min,$,Weekly,"notebook, pen, phone"
66,Africa,South Africa,Durban,10.2842,-67.5427,goal making/tracking,"In Durban, South Africa, participants can explore goal making/tracking through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Wellness,Intermediate,Tier 2,2,Indoor,3,Half day,$$,Weekly,"planner, sticky notes, markers"
67,Europe,France,Paris,7.7362,-70.525,bead design,"Bead design sessions in Paris, France, offer creativity, culture, and community learning.",Lifestyle,Easy,Tier 1,1,Outdoor,5,2 hours,$$,Seasonal,"string, needle, clips"
68,Oceania,New Zealand,Christchurch,-24.9683,126.7131,homegrown food,"Homegrown food sessions in Christchurch, New Zealand, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Indoor,4,2 hours,$$,Weekly,"gloves, planter, seeds"
69,Europe,UK,Bristol,-38.5091,-86.5744,urban gardening,"Experience the joy of urban gardening in Bristol, UK, surrounded by supportive mentors and local tradition.",Culture,Easy,Tier 1,1,Outdoor,1,2 hours,$$$,Monthly,"watering can, soil, spade"
70,Americas,Argentina,Córdoba,-2.7646,-110.3949,painting,"In Córdoba, Argentina, participants can explore painting through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Culture,Intermediate,Tier 2,2,Indoor,1,2 hours,$,Seasonal,"easel, acrylics, palette"
71,Asia,China,Shanghai,42.7829,101.8058,knife making,"Knife making sessions in Shanghai, China, offer creativity, culture, and community learning.",Technology,Easy,Tier 1,1,Indoor,3,Half day,$,Daily,"steel, anvil, hammer"
72,Asia,India,Mumbai,22.7839,-30.0513,homegrown food,"Homegrown food sessions in Mumbai, India, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Outdoor,2,30 min,$$,Monthly,"gloves, planter, seeds"
73,Americas,Brazil,Salvador,-0.2886,-95.2175,self-care tutorial,"Experience the joy of self-care tutorial in Salvador, Brazil, surrounded by supportive mentors and local tradition.",Crafts,Intermediate,Tier 2,2,Outdoor,2,30 min,$$,Monthly,"wax, sponge, bucket"
74,Americas,Mexico,Guadalajara,-36.9606,79.8271,leather stitching,"In Guadalajara, Mexico, participants can explore leather stitching through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Wellness,Advanced,Tier 3,3,Indoor,2,2 hours,$,Weekly,"punch, awl, stitching kit"
75,Oceania,Australia,Melbourne,31.5887,-72.6178,memory journaling,"Memory journaling sessions in Melbourne, Australia, offer creativity, culture, and community learning.",Lifestyle,Advanced,Tier 3,3,Indoor,3,2 hours,$$,Weekly,"diary, pen, color markers"
76,Oceania,New Zealand,Christchurch,-24.9916,-79.3592,decluttering,"In Christchurch, New Zealand, participants can explore decluttering through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Food,Advanced,Tier 3,3,Indoor,3,1 hour,$$,Daily,"paintbrush, apron, fabric scraps"
77,Oceania,Australia,Brisbane,15.616,-64.4015,bead design,"Experience the joy of bead design in Brisbane, Australia, surrounded by supportive mentors and local tradition.",Wellness,Easy,Tier 1,1,Outdoor,5,Half day,$,Seasonal,"string, needle, clips"
78,Americas,Brazil,Recife,40.7642,-12.1401,scrapbooking,"In Recife, Brazil, participants can explore scrapbooking through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Culture,Advanced,Tier 3,3,Indoor,4,1 hour,$,Daily,"notebook, pen, reading glasses"
79,Africa,Kenya,Mombasa,35.9412,16.8704,car maintenance,"Experience the joy of car maintenance in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Food,Advanced,Tier 3,3,Indoor,1,2 hours,$$$,Weekly,"wax, sponge, bucket"
80,Americas,Mexico,Monterrey,-11.3984,103.3611,site seeing,"Experience the joy of site seeing in Monterrey, Mexico, surrounded by supportive mentors and local tradition.",Automotive,Easy,Tier 1,1,Indoor,1,2 hours,$,Monthly,"map, water bottle, camera"
81,Africa,Kenya,Nairobi,-11.4643,52.4106,decluttering,"In Nairobi, Kenya, participants can explore decluttering through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Indoor,3,2 hours,$$$,Weekly,"notebook, pen, phone"
82,Europe,UK,Liverpool,5.7577,95.8463,vehicle detailing,"In Liverpool, UK, participants can explore vehicle detailing through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Automotive,Intermediate,Tier 2,2,Indoor,3,1 hour,$$,Seasonal,"paintbrush, apron, fabric scraps"
83,Europe,Spain,Seville,-38.4609,77.2863,vehicle detailing,"In Seville, Spain, participants can explore vehicle detailing through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Automotive,Intermediate,Tier 2,2,Indoor,1,30 min,$$$,Monthly,"notebook, pen, phone"
84,Oceania,New Zealand,Wellington,-38.509,-6.7378,metal crafting,"Metal crafting sessions in Wellington, New Zealand, offer creativity, culture, and community learning.",Crafts,Advanced,Tier 3,3,Outdoor,4,1 hour,$$$,Seasonal,"forge, tongs, grinder"
85,Asia,China,Chengdu,9.3835,-91.0489,car maintenance,"Car maintenance sessions in Chengdu, China, offer creativity, culture, and community learning.",Culture,Advanced,Tier 3,3,Indoor,1,2 hours,$,Weekly,"wax, sponge, bucket"
86,Asia,Turkey,Istanbul,21.0547,-0.6336,scrapbooking,"Experience the joy of scrapbooking in Istanbul, Turkey, surrounded by supportive mentors and local tradition.",Technology,Advanced,Tier 3,3,Indoor,4,Half day,$,Daily,"notebook, pen, reading glasses"
87,Oceania,New Zealand,Wellington,27.009,-25.3006,vehicle detailing,"In Wellington, New Zealand, participants can explore vehicle detailing through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Technology,Intermediate,Tier 2,2,Indoor,1,2 hours,$,Weekly,"toolbox, tape measure, gloves"
88,Asia,Turkey,Ankara,51.2251,77.5514,tech station,"In Ankara, Turkey, participants can explore tech station through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Technology,Intermediate,Tier 2,2,Outdoor,3,2 hours,$$$,Monthly,"soldering iron, circuit board, multimeter"
89,Africa,Kenya,Kisumu,47.4564,81.2727,car cleaning,"In Kisumu, Kenya, participants can explore car cleaning through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Food,Intermediate,Tier 2,2,Indoor,1,Half day,$,Weekly,"wax, sponge, bucket"
90,Oceania,Australia,Brisbane,27.6826,-39.5352,car maintenance,"Experience the joy of car maintenance in Brisbane, Australia, surrounded by supportive mentors and local tradition.",Crafts,Easy,Tier 1,1,Indoor,3,2 hours,$$,Monthly,"wax, sponge, bucket"
91,Americas,Canada,Vancouver,57.7389,-97.2506,scrapbooking,"Experience the joy of scrapbooking in Vancouver, Canada, surrounded by supportive mentors and local tradition.",Food,Advanced,Tier 3,3,Indoor,3,Half day,$$$,Daily,"notebook, pen, reading glasses"
92,Europe,Spain,Madrid,-7.2002,17.2386,painting,"Painting sessions in Madrid, Spain, offer creativity, culture, and community learning.",Food,Intermediate,Tier 2,2,Outdoor,1,Half day,$$$,Weekly,"easel, acrylics, palette"
93,Oceania,Australia,Melbourne,0.0393,129.216,DIY car,"Experience the joy of DIY car in Melbourne, Australia, surrounded by supportive mentors and local tradition.",Lifestyle,Intermediate,Tier 2,2,Outdoor,3,30 min,$$,Monthly,"wax, sponge, bucket"
94,Africa,South Africa,Pretoria,56.8419,-48.8736,tech station,"Experience the joy of tech station in Pretoria, South Africa, surrounded by supportive mentors and local tradition.",Wellness,Intermediate,Tier 2,2,Indoor,5,Half day,$$,Daily,"soldering iron, circuit board, multimeter"
95,Asia,Turkey,Ankara,52.5577,-32.4454,urban gardening,"Urban gardening sessions in Ankara, Turkey, offer creativity, culture, and community learning.",Wellness,Advanced,Tier 3,3,Outdoor,2,30 min,$,Monthly,"watering can, soil, spade"
96,Africa,South Africa,Johannesburg,6.1521,-61.607,vehicle detailing,"Vehicle detailing sessions in Johannesburg, South Africa, offer creativity, culture, and community learning.",Automotive,Advanced,Tier 3,3,Outdoor,4,30 min,$,Seasonal,"toolbox, tape measure, gloves"
97,Oceania,Australia,Perth,8.4791,73.8513,leather stitching,"Leather stitching sessions in Perth, Australia, offer creativity, culture, and community learning.",Technology,Intermediate,Tier 2,2,Outdoor,3,2 hours,$$,Weekly,"punch, awl, stitching kit"
98,Americas,Canada,Calgary,21.203,-82.1922,car maintenance,"In Calgary, Canada, participants can explore car maintenance through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Crafts,Advanced,Tier 3,3,Indoor,2,2 hours,$,Monthly,"wax, sponge, bucket"
99,Oceania,New Zealand,Wellington,-32.1383,24.8913,site seeing,"In Wellington, New Zealand, participants can explore site seeing through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Lifestyle,Advanced,Tier 3,3,Indoor,5,1 hour,$$,Seasonal,"map, water bottle, camera"
100,Europe,France,Bordeaux,4.391,-10.4647,ceramic sculpting,"In Bordeaux, France, participants can explore ceramic sculpting through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Culture,Intermediate,Tier 2,2,Outdoor,1,2 hours,$,Seasonal,"kiln, ceramic tools, glaze"
101,Europe,France,Marseille,45.377,70.6516,arts and crafts,"In Marseille, France, participants can explore arts and crafts through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Outdoor,5,30 min,$$$,Monthly,"canvas, paint, brush set"
102,Europe,France,Lyon,-32.5006,4.7716,folk dance,"In Lyon, France, participants can explore folk dance through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Technology,Advanced,Tier 3,3,Indoor,5,Half day,$$$,Monthly,"music player, dance shoes, mirrors"
103,Africa,Kenya,Mombasa,24.7681,52.031,car maintenance,"Experience the joy of car maintenance in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Culture,Intermediate,Tier 2,2,Indoor,2,2 hours,$,Seasonal,"wax, sponge, bucket"
104,Europe,Spain,Seville,3.7958,88.9041,bead design,"Experience the joy of bead design in Seville, Spain, surrounded by supportive mentors and local tradition.",Technology,Advanced,Tier 3,3,Outdoor,2,Half day,$,Weekly,"string, needle, clips"
105,Asia,China,Beijing,-12.7647,6.4623,room by room,"In Beijing, China, participants can explore room by room through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Culture,Easy,Tier 1,1,Indoor,2,Half day,$$,Monthly,"organizer, baskets, storage box"
106,Oceania,Australia,Adelaide,54.6238,-101.5083,jewelry making,"In Adelaide, Australia, participants can explore jewelry making through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Crafts,Easy,Tier 1,1,Indoor,5,1 hour,$$,Monthly,"pliers, wire, beads"
107,Europe,France,Nice,-4.4707,65.3701,vehicle detailing,"Vehicle detailing sessions in Nice, France, offer creativity, culture, and community learning.",Food,Easy,Tier 1,1,Outdoor,3,30 min,$$,Seasonal,"notebook, pen, phone"
108,Americas,Mexico,Mexico City,-35.3214,147.7236,interior organization,"In Mexico City, Mexico, participants can explore interior organization through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Wellness,Easy,Tier 1,1,Outdoor,5,1 hour,$,Weekly,"paintbrush, apron, fabric scraps"
109,Americas,Mexico,Cancún,14.7679,54.2934,goal making/tracking,"Goal making/tracking sessions in Cancún, Mexico, offer creativity, culture, and community learning.",Wellness,Advanced,Tier 3,3,Indoor,4,2 hours,$$,Weekly,"planner, sticky notes, markers"
