activity_title,description,instruction,activity_type,subcategory,duration_minutes,tier,cost,location,min_age,max_age,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match,time,Category
Power Breathing (Hyper-Oxygenation),Deep rapid breathing rounds followed by breath retention to boost adrenaline and mental clarity.,1. Lie down safely on a mat.,Time-Bound,Energizing Breathwork,5.0,2.0,Free,Indoor,18.0,65.0,Yes,"Strong physical sensations (tingling, warmth) provide intense grounding sensory input.","Proprioceptive, Touch",Solo,High,"Energy, Focus, Resilience","Tired, Frustrated",daytime,Micro-movements & Breathwork
Staccato Segmented Inhales,Divide inhales into three quick nasal sniffs before releasing one long exhale.,"1. Sniff in 1/3 capacity through nose, pause brief second.",Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Segmented sniffing acts like a stepped sensory rhythm.,"Rhythm, Sound",Solo,Moderate,"Focus, Energy","Tired, Overwhelmed",daytime,Micro-movements & Breathwork
Sip-Sip Inhale Energizer,Double sharp inhales through the nose paired with a single swift vocal exhale.,1. Take two rapid inhales through your nose ('sip-sip').,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Snappy auditory sounds provide immediate focus feedback.,"Sound, Rhythm",Solo,Moderate,"Energy, Alertness","Tired, Frustrated",daytime,Micro-movements & Breathwork
Simhasana Lion's Breath,Exhale with wide facial expression and open tongue release to dispel physical sluggishness.,1. Kneel or sit comfortably leaning forward with hands on knees.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Exaggerated facial stretch relieves jaw and facial muscle tightness.,"Movement, Sound",Solo,Moderate,"Energy, Stress Relief","Tired, Frustrated, Stressed",daytime,Micro-movements & Breathwork
Tactical Focus Box (5-5-5-5),Expand box breathing ratios to 5 seconds to sharpen executive focus.,1. Inhale through your nose for 5 seconds.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Slightly longer holds demand heightened attention control.,"Rhythm, Focus",Solo,Moderate,"Focus, Alertness","Tired, Overwhelmed",daytime,Micro-movements & Breathwork
Double-Time Coherent (3:3 Cadence),Speed up coherent breathing to a brisk 3-second tempo to drive focused attention.,1. Inhale through your nose for 3 seconds.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Brisk continuous pacing prevents mind wandering.,Rhythm,Solo,Moderate,"Focus, Energy","Tired, Overwhelmed",daytime,Micro-movements & Breathwork
Isometric Breath Tensing,Combine full lung capacity holds with gentle core muscle engagement.,1. Inhale fully through your nose for 4 seconds.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Core engagement adds deep proprioceptive grounding.,"Proprioceptive, Touch",Solo,Moderate,"Focus, Strength","Tired, Frustrated",daytime,Micro-movements & Breathwork
Cadence Breath (2-1-2-1),A snappy short-count cadence protocol designed to clear lethargy.,1. Inhale nose for 2 seconds.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Fast-paced micro-counts stimulate cognitive processing.,Rhythm,Solo,Moderate,"Alertness, Energy","Tired, Overwhelmed",daytime,Micro-movements & Breathwork
Nadi Shodhana (Alternate Nostril),Balance left and right brain hemispheres by alternating nasal airflow channels.,"1. Sit tall; place right thumb on right nostril, ring finger on left nostril.",Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Tactile alternation between nostrils encourages systemic balance.,"Touch, Rhythm",Solo,Low,"Calm, Focus, Balance","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Buteyko Control Pause Test & Reset,"Measure and recalibrate CO2 sensitivity through gentle, unforced breath pauses.",1. Take a normal gentle inhale and normal gentle exhale through your nose.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Data-driven timer tracking provides clear objective feedback.,"Touch, Focus",Solo,Low,"Resilience, Calm","Anxious, Stressed",anytime,Micro-movements & Breathwork
Buteyko Reduced Breathing Practice,Intentionally shallow breathing volume slightly to build higher CO2 tolerance over time.,1. Sit upright and relax upper body.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Controlled exposure to air hunger strengthens autonomic resilience.,Proprioceptive,Solo,Low,"Calm, Resilience","Anxious, Stressed",anytime,Micro-movements & Breathwork
Diaphragmatic Weighted Resisting,Place a light object or sandbag on your abdomen while lying down to strengthen diaphragmatic lift.,1. Lie flat on your back and place a light book or small weight (1-2 kg) on your belly.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Weight on abdomen offers grounding proprioceptive deep pressure.,"Touch, Proprioceptive",Solo,Low,"Strength, Calm, Relaxation","Anxious, Stressed, Tired",anytime,Micro-movements & Breathwork
Intercostal Rib-Expansion Breathing,Place hands on lower lateral ribs to direct breathing expanding sideways.,1. Sit tall and place palms on the sides of your lower ribcage.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Lateral hand placement clarifies breathing geometry.,"Touch, Proprioceptive",Solo,Low,"Posture, Calm, Flexibility","Anxious, Stressed",anytime,Micro-movements & Breathwork
Back-Expansion Child's Pose Breath,Direct breathing into the posterior lungs while resting in Child's Pose.,1. Rest in Child's Pose with forehead on the floor and arms extended.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Floor contact offers reassuring physical boundaries.,"Touch, Proprioceptive",Solo,Low,"Relaxation, Calm, Posture","Anxious, Stressed, Tired, Overwhelmed",anytime,Micro-movements & Breathwork
Crocodile / Prone Floor Breathing,Lie prone on your stomach with forehead resting on hands to feel belly expansion against the floor.,1. Lie face down on a mat with hands stacked under forehead.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Prone floor pressure acts as a tactile cue for deep abdominal activation.,"Touch, Proprioceptive",Solo,Low,"Relaxation, Calm, Posture","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
90/90 Wall Rib-Depression Breathing,Lie on your back with feet on a wall at 90 degrees to lock the spine flat and pull ribs down on exhales.,1. Lie on back with knees bent at 90 degrees and feet flat against a wall.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,90/90 wall posture gives precise physical alignment cues.,"Touch, Proprioceptive",Solo,Low,"Posture, Core, Calm","Stressed, Anxious",anytime,Micro-movements & Breathwork
Chest-to-Belly Isolation Drills,"Alternate breathing exclusively into the upper chest for 5 seconds, then belly for 5 seconds.",1. Place one hand on chest and one on belly.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Motor control isolation exercises build interoceptive awareness.,"Touch, Focus",Solo,Low,"Focus, Calm, Control","Anxious, Stressed",anytime,Micro-movements & Breathwork
Inspiratory Resistance Muscle Training,Breathe against slight resistance using narrow lips or a straw to build diaphragm strength.,1. Inhale deeply through narrow lips (or a drinking straw) feeling lung resistance.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Airway resistance provides clear physical sensory feedback.,"Touch, Proprioceptive",Solo,Low,"Strength, Resilience","Stressed, Anxious",anytime,Micro-movements & Breathwork
Supine 1:1 Cadence Rest,Lie fully horizontal while maintaining a relaxed equal 4-second inhale and exhale.,1. Lie flat on your back on a quiet rug or mat.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Horizontal lying position removes postural demands entirely.,"Touch, Rhythm",Solo,Low,"Rest, Calm, Relaxation","Anxious, Tired, Overwhelmed",anytime,Micro-movements & Breathwork
Cadence Post-Exhale Empty Lock,"Inhale 4s, exhale 4s, and hold lungs empty for 4s to settle nervous system arousal.",1. Inhale through your nose for 4 seconds.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Holding on the empty phase decreases cardiac output and calms racing thoughts.,"Rhythm, Focus",Solo,Low,"Calm, Focus, Relaxation","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Counting Down 100 Exhales,"Count backward from 100 on every exhale, restarting if mental focus slips.",1. Sit comfortably with eyes closed.,Time-Bound,Therapeutic Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Counting down provides a structured mental task that blocks disruptive thoughts.,"Focus, Rhythm",Solo,Low,"Focus, Calm, Mindfulness","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Apnea CO2 Tolerance Tables,Practice fixed breath-hold durations paired with decreasing rest intervals to build CO2 resilience.,1. Lie flat on a comfortable mat in a safe environment.,Time-Bound,Advanced Retentions,5.0,2.0,Free,Indoor,18.0,65.0,Yes,Structured time intervals create clear performance targets.,"Proprioceptive, Focus",Solo,Moderate,"Resilience, Focus, Control","Stressed, Frustrated",daytime,Micro-movements & Breathwork
Apnea O2 Depletion Tables,Practice increasing hold times paired with fixed short rest intervals under safe conditions.,1. Lie flat on a mat.,Time-Bound,Advanced Retentions,5.0,2.0,Free,Indoor,18.0,65.0,Yes,Systematic progression tracking fosters hyperfocus.,"Proprioceptive, Focus",Solo,Moderate,"Resilience, Focus","Stressed, Frustrated",daytime,Micro-movements & Breathwork
Walk-and-Hold Walking Apnea,"Exhale, hold breath empty, and count steps taken safely on grass before breathing normally.","1. Stand on a flat, safe grass area.",Time-Bound,Advanced Retentions,5.0,2.0,Free,Outdoor,18.0,65.0,Yes,Combining physical step counting with breath holds provides strong proprioceptive feedback.,"Movement, Proprioceptive",Solo,Moderate,"Resilience, Focus, Agility","Frustrated, Stressed",daytime,Micro-movements & Breathwork
Square 6s Advanced Box (6-6-6-6),Expand box breathing square intervals to 6 seconds for advanced mental control.,1. Inhale nose for 6 seconds.,Time-Bound,Advanced Retentions,5.0,2.0,Free,Indoor/Outdoor,18.0,65.0,Yes,Lengthened box holds require high attentional presence.,"Rhythm, Focus",Solo,Low,"Focus, Calm, Control","Stressed, Anxious, Overwhelmed",anytime,Micro-movements & Breathwork
Square 8s Elite Box (8-8-8-8),Deep box breathing intervals of 8 seconds per side for profound stillness.,1. Inhale nose for 8 seconds.,Time-Bound,Advanced Retentions,5.0,2.0,Free,Indoor/Outdoor,18.0,65.0,Yes,Sustained holds demand complete cognitive immersion.,"Rhythm, Focus",Solo,Low,"Focus, Calm, Resilience","Stressed, Anxious",anytime,Micro-movements & Breathwork
Triangle Breathing (Inhale-Hold Focus),"A three-part breath pattern holding after the inhale: Inhale 4s, Hold 4s, Exhale 4s.",1. Inhale nose for 4 seconds.,Time-Bound,Advanced Retentions,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,"Triangular rhythm provides a simple, repeatable visual geometry.","Rhythm, Focus",Solo,Low,"Focus, Calm","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Triangle Breathing (Exhale-Hold Grounding),"A three-part breath pattern holding after the exhale: Inhale 4s, Exhale 4s, Hold Empty 4s.",1. Inhale nose for 4 seconds.,Time-Bound,Advanced Retentions,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Empty holds anchor focus during overstimulation.,"Rhythm, Focus",Solo,Low,"Calm, Focus, Relaxation","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Stair-Step Retention Inhales,Inhale in 3 staged steps with micro-holds between before releasing a long exhale.,"1. Inhale 1/3 capacity, hold 2s.",Time-Bound,Advanced Retentions,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Stepped inhales create clear tactile internal stops.,"Rhythm, Proprioceptive",Solo,Low,"Focus, Calm","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
1:4:2 Ratio Classical Pranayama,"Inhale 4s, Hold 16s, Exhale 8s for deep respiratory control.",1. Inhale nose for 4 seconds.,Time-Bound,Advanced Retentions,5.0,2.0,Free,Indoor,18.0,65.0,Yes,Long hold ratio engages high mental concentration.,"Rhythm, Focus",Solo,Moderate,"Resilience, Focus, Calm","Stressed, Frustrated",daytime,Micro-movements & Breathwork
Breath-Hold Surge Cycles,15 rapid breaths followed by a max effort empty hold to expand stress resilience.,1. Lie down flat on a mat.,Time-Bound,Advanced Retentions,5.0,2.0,Free,Indoor,18.0,65.0,Yes,Dynamic contrast between rapid breathing and total retention offers strong physical grounding.,"Proprioceptive, Focus",Solo,Moderate,"Resilience, Focus, Energy","Stressed, Frustrated",daytime,Micro-movements & Breathwork
Resonant Box Breath - Protocol #51,A balanced 4-4-4-4 rhythm to soothe the central nervous system.,1. Inhale through nose for 4 seconds.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Rhythm",Solo,Low,"Calm, Stress Relief, Focus","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
,,2. Hold breath for 4 seconds.,,,,,,,,,,,,,,,,,
,,3. Exhale through mouth for 4 seconds.,,,,,,,,,,,,,,,,,
,,4. Hold empty for 4 seconds. Repeat for 5 minutes.,,,,,,,,,,,,,,,,,
Bellows Vitality Pump - Protocol #52,Rhythmic rapid abdominal pumping to elevate alertness and focus.,1. Sit upright with extended spine.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Rhythm",Solo,Moderate,"Calm, Stress Relief, Focus","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
,,2. Take rapid rhythmic inhales and exhales through nose at 1-second cadence.,,,,,,,,,,,,,,,,,
,,3. Keep chest steady while belly pumps aggressively.,,,,,,,,,,,,,,,,,
,,4. Perform 3 sets of 30 seconds with 15s calm recovery between sets for 5 minutes.,,,,,,,,,,,,,,,,,
Ocular Horizon Tracking (Variation #53),Horizontal ocular motility reset to reduce digital eye strain.,1. Hold thumb out at arm length.,Time-Bound,Therapeutic & Somatic Micro-Movements,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Tactile",Solo,Moderate,"Mobility, Tension Release, Energy","Restless, Stiff, Lethargic",anytime,Micro-movements & Breathwork
,,2. Move thumb slowly left to right while keeping head perfectly still.,,,,,,,,,,,,,,,,,
,,3. Follow thumb tip with eyes only.,,,,,,,,,,,,,,,,,
,,"4. Perform 10 sweeps, rest 10s, repeat for 5 minutes.",,,,,,,,,,,,,,,,,
Cervical Spine Glide Routine (Variation #54),Gentle cervical retractions to relieve tech-neck tightness.,1. Sit tall with chin parallel to floor.,Time-Bound,Desk Mobility & Joint Resets,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Tactile",Solo,Moderate,"Mobility, Tension Release, Energy","Restless, Stiff, Lethargic",anytime,Micro-movements & Breathwork
,,2. Glide chin straight back creating a double chin.,,,,,,,,,,,,,,,,,
,,"3. Hold 3 seconds, release forward smoothly.",,,,,,,,,,,,,,,,,
,,"4. Perform 12 reps, 3 sets across 5 minutes.",,,,,,,,,,,,,,,,,
Technical Synthesis Reading (Drill #55),Structured 5-minute active reading and comprehension exercise focused on technical synthesis reading.,1. Select a brief passage focused on technical synthesis reading.,Time-Bound,Mindful Reading & Cognitive Micro-Drills,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Visual, Cognitive",Solo,Low,"Focus, Comprehension, Mental Clarity","Seeking Focus, Distracted, Overwhelmed",anytime,Micro-movements & Breathwork
,,2. Read continuously with active visual tracking for 3 minutes.,,,,,,,,,,,,,,,,,
,,3. Annotate key concepts or write down 2 core summary takeaways.,,,,,,,,,,,,,,,,,
,,4. Conclude with 1 minute of mental consolidation and recall check.,,,,,,,,,,,,,,,,,
Vagus Nerve Ocean Inhale - Protocol #56,Slow rhythmic deep breathing targeting vagal tone stimulation.,1. Sit upright with soft shoulders.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Rhythm",Solo,Low,"Calm, Stress Relief, Focus","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
,,2. Inhale deeply into lower abdomen for 5s.,,,,,,,,,,,,,,,,,
,,3. Exhale slowly with a subtle back-of-throat hum for 5s.,,,,,,,,,,,,,,,,,
,,4. Repeat smoothly for 5 minutes.,,,,,,,,,,,,,,,,,
Sun Channel Activation - Protocol #57,Right nostril breath control to spark focus and metabolic energy.,1. Block left nostril gently with ring finger.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Rhythm",Solo,Moderate,"Calm, Stress Relief, Focus","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
,,2. Inhale deeply through right nostril for 4s.,,,,,,,,,,,,,,,,,
,,3. Exhale through right nostril for 4s.,,,,,,,,,,,,,,,,,
,,4. Maintain rhythmic right-channel breathing for 5 minutes.,,,,,,,,,,,,,,,,,
Somatic Tremor Shakeout (Variation #58),Vigorous full-body shaking to discharge nervous system tension.,1. Stand with feet shoulder-width apart.,Time-Bound,Therapeutic & Somatic Micro-Movements,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Tactile",Solo,Moderate,"Mobility, Tension Release, Energy","Restless, Stiff, Lethargic",anytime,Micro-movements & Breathwork
,,2. Begin bouncing lightly on heels and shaking wrist joints.,,,,,,,,,,,,,,,,,
,,"3. Allow vibration to travel up shoulders, jaw, and torso.",,,,,,,,,,,,,,,,,
,,4. Shake continuously for 5 minutes to release trapped stress.,,,,,,,,,,,,,,,,,
Wrist & Forearm Tension Release (Variation #59),Stretches wrist flexors and extensors for keyboard users.,"1. Extend right arm forward, palm up.",Time-Bound,Desk Mobility & Joint Resets,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Proprioceptive, Tactile",Solo,Moderate,"Mobility, Tension Release, Energy","Restless, Stiff, Lethargic",anytime,Micro-movements & Breathwork
,,2. Pull fingers down with left hand gently for 30s.,,,,,,,,,,,,,,,,,
,,"3. Flip palm down, pull hand back toward wrist for 30s.",,,,,,,,,,,,,,,,,
,,4. Swap sides and repeat cycles for 5 minutes.,,,,,,,,,,,,,,,,,
Creative Prose Speed Analysis (Drill #60),Structured 5-minute active reading and comprehension exercise focused on creative prose speed analysis.,1. Select a brief passage focused on creative prose speed analysis.,Time-Bound,Mindful Reading & Cognitive Micro-Drills,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Structured micro-duration provides a clear cognitive focus anchor without executive function overload.,"Visual, Cognitive",Solo,Low,"Focus, Comprehension, Mental Clarity","Seeking Focus, Distracted, Overwhelmed",anytime,Micro-movements & Breathwork
,,2. Read continuously with active visual tracking for 3 minutes.,,,,,,,,,,,,,,,,,
