activity_title,description,instruction,activity_type,subcategory,duration_minutes,tier,cost,location,min_age,max_age,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match,time,Category
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Tree-Anchored Band & Sprint Combo,Uses a heavy resistance loop band anchored to a sturdy tree trunk for high-intensity power output. (Loop a heavy resistance band securely around a thick tree or post at hip height.),Setup: Loop a heavy resistance band securely around a thick tree or post at hip height.,Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,"Warm-up (5 mins): Jogging, arm swings, band-resisted sidesteps.",,,,,,,,,,,,,,,,,
,,"Main Workout (20 mins): Perform 4 rounds of this 5-minute block (work 45s, rest 15s):",,,,,,,,,,,,,,,,,
,,Band-Resisted Forward Sprints: Step into the loop facing away from tree; drive forward against resistance for 45s.,,,,,,,,,,,,,,,,,
,,Resisted Lateral Shuffles: Face side-on in the band; shuffle away 5 meters and back under tension.,,,,,,,,,,,,,,,,,
,,"Band Explosive Rows: Facing the tree, hold band handles, pull violently to chest, slow eccentric release.",,,,,,,,,,,,,,,,,
,,"Band Woodchoppers: Turn sideways, pull band across body in a hard diagonal rotation (pivot back foot).",,,,,,,,,,,,,,,,,
,,1-minute Full Rest.,,,,,,,,,,,,,,,,,
,,Cool-down (5 mins): Chest and hip flexor stretches.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Grass-Field Bear Crawl & Sprint Matrix,"A full-body metabolic finisher that builds core stability, shoulder toughness, and raw speed. (Find an open grass patch approximately 25 meters long.)",Setup: Find an open grass patch approximately 25 meters long.,Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,"Warm-up (5 mins): Wrist mobility drills, arm circles, inchworms.",,,,,,,,,,,,,,,,,
,,Main Workout (20 mins): Complete as many rounds as possible (AMRAP) in 18 minutes:,,,,,,,,,,,,,,,,,
,,"25m Forward Bear Crawl: Keep knees 2 cm off the ground, hips low, flat back.",,,,,,,,,,,,,,,,,
,,25m Backward Jog: Retreat safely to the start line.,,,,,,,,,,,,,,,,,
,,25m Sprint: Full-out effort across the grass.,,,,,,,,,,,,,,,,,
,,25m Broad Jumps: Two-footed explosive jumps back to start.,,,,,,,,,,,,,,,,,
,,1-minute Rest.,,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Wrist and wrist-extensor stretches, child’s pose on grass.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
"Hill Sprint ""Throwdown""",Uses steep incline gradients for maximum heart-rate spikes with minimal joint impact. (Locate a steep park hill or inclined path (approx. 30-50 meters long).),Setup: Locate a steep park hill or inclined path (approx. 30-50 meters long).,Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,"Warm-up (5 mins): Slow jog on flat ground, leg swings, high knees on flat ground.",,,,,,,,,,,,,,,,,
,,Main Workout (20 mins):,,,,,,,,,,,,,,,,,
,,Sprint Phase: Drive arms aggressively and sprint up the hill at 90-95% max effort.,,,,,,,,,,,,,,,,,
,,At the top: Immediately perform 10 Push-ups OR 15 Bodyweight Squats.,,,,,,,,,,,,,,,,,
,,Recovery Phase: Slow walk down to the bottom (focus on deep breathing).,,,,,,,,,,,,,,,,,
,,Target: Complete 8 to 10 total hill ascents within the 20-minute block.,,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Walking, quad and hamstring stretching.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Shadowboxing & Sprawl Conditioning,Combines fighting mechanics with explosive movement on a flat outdoor surface.,MAIN EXERCISE ROUTINE:,Time-Bound,Functional Fitness,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,"Warm-up (5 mins): Easy bounce, neck rolls, arm rotations, shadowboxing at 50% speed.",,,,,,,,,,,,,,,,,
,,Main Workout (20 mins): 5 rounds x 3 minutes work (1 minute rest between rounds):,,,,,,,,,,,,,,,,,
,,"Minute 1: Fast, continuous punch combinations (Jab-Cross-Hook-Cross) while maintaining active footwork.",,,,,,,,,,,,,,,,,
,,"Minute 2: Dynamic combinations + Sprawls (every 5th punch, drop hips rapidly to the ground like defending a takedown, snap back up immediately).",,,,,,,,,,,,,,,,,
,,Minute 3: High-knee continuous punching on the spot at maximum speed for the final 60 seconds.,,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Deltoid and shoulder stretches, calf stretches.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Playground Pull & Press Gauntlet,Leverages public outdoor fitness equipment or playground bars.,MAIN EXERCISE ROUTINE:,Time-Bound,Functional Fitness,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,"Warm-up (5 mins): Arm circles, chest openers, light jogging.",,,,,,,,,,,,,,,,,
,,"Main Workout (20 mins): Perform 5 sets in a ""ladder"" fashion (Rest 90 seconds between sets):",,,,,,,,,,,,,,,,,
,,Max Pull-Ups / Inverted Leaning Rows: Pull chest to bar with explosive speed.,,,,,,,,,,,,,,,,,
,,Explosive Dips (or Bench Dips): Drive up rapidly from the bottom.,,,,,,,,,,,,,,,,,
,,Hanging Knee Raises: Drive knees to chest without swinging momentum.,,,,,,,,,,,,,,,,,
,,100m Sprint: Immediately drop off the bar and sprint 100 meters away and jog back.,,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Hanging lats stretch, chest stretch against a pole.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
"Outdoor Kettlebell / Dumbbell ""Death by Reps""",A simple timed protocol using a single portable weight (12kg-20kg kettlebell or dumbbell). (Place one medium-to-heavy weight on a patch of grass.),Setup: Place one medium-to-heavy weight on a patch of grass.,Time-Bound,Weighted & Resistance,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,"Warm-up (5 mins): Hips circles, bodyweight squats, arm swings.",,,,,,,,,,,,,,,,,
,,Main Workout (18 mins): Complete 3 rounds of the following 6-minute block (45s work / 15s rest per exercise):,,,,,,,,,,,,,,,,,
,,"Kettlebell Swings: Explosive hip hinge, driving through glutes.",,,,,,,,,,,,,,,,,
,,"Goblet Squat to Overhead Press: Squat deep, explode up, drive weight overhead.",,,,,,,,,,,,,,,,,
,,"Single-Arm Dumbbell/KB Cleans: 22s left side, 22s right side.",,,,,,,,,,,,,,,,,
,,"Sumo Squat High Pull: Wide stance, drive up through legs and pull weight up to collarbones.",,,,,,,,,,,,,,,,,
,,"Push-ups over the Weight: Place one hand on the weight, perform push-up, swap sides.",,,,,,,,,,,,,,,,,
,,1-minute Full Rest.,,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Upper back, glute, and spinal twist stretches.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Sand Dune Sprints & Lateral Drills,"Warm-up (5 mins): Low-tempo jog along flat sand, ankle rotations, dynamic calf stretches. (Locate a steep, soft sand incline (15-30 meters high). Sand increases resistance by up to 30% while reducing joint impact.)","Setup: Locate a steep, soft sand incline (15-30 meters high). Sand increases resistance by up to 30% while reducing joint impact.",Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,Main Workout (20 mins):,,,,,,,,,,,,,,,,,
,,"Explosive Up-Dune Sprints (6 reps): Drive knees high, pumping arms aggressively. Walk down for recovery.",,,,,,,,,,,,,,,,,
,,"Lateral Sand Shuffles (4 reps): Facing side-on, shuffle rapidly up the incline, leading with the uphill leg. Swap sides each rep.",,,,,,,,,,,,,,,,,
,,Backward Sand Crawls (4 reps): Bear crawl backward up a shallow incline to overload quad and shoulder endurance.,,,,,,,,,,,,,,,,,
,,Tip: Focus on keeping foot contact short-don't let your feet sink deep into the sand before pushing off.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Open-Water / Surf Entry Sprints,"Warm-up (5 mins): Light shoreline jog, shoulder rotations, wading through knee-deep water. (Identify a safety line in waist-to-chest-deep water (25-40 meters from shore).)",Setup: Identify a safety line in waist-to-chest-deep water (25-40 meters from shore).,Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,Main Workout (20 mins / 5 Rounds):,,,,,,,,,,,,,,,,,
,,High-Knee Water Run: Sprint from the dry sand through knee-deep water lifting knees high above water level.,,,,,,,,,,,,,,,,,
,,Open Water Swim Sprint: Dive into waist-deep water and perform a 50-meter max-effort freestyle swim into deeper water.,,,,,,,,,,,,,,,,,
,,"Surf Return Sprint: Turn around, swim/body-surf back to shore, and sprint onto dry sand.",,,,,,,,,,,,,,,,,
,,Rest: Rest 90 seconds between rounds.,,,,,,,,,,,,,,,,,
,,Tip: Keep eye contact on landmarks on shore when swimming back to maintain a straight line.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Mountain Bike (MTB) Singletrack Interval Attack,"Warm-up (5 mins): Easy spinning on flat dirt or road to get blood flowing. (Find a 1-2 kilometre loop featuring short climbs, sharp turns, and flat speed sections.)","Setup: Find a 1-2 kilometre loop featuring short climbs, sharp turns, and flat speed sections.",Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,Main Workout (20 mins):,,,,,,,,,,,,,,,,,
,,Out-of-Saddle Sprint Climbs (30s): Stand up on pedals and attack any uphill gradient at maximum cadence.,,,,,,,,,,,,,,,,,
,,"Technical Cornering Flow (60s): Drive through tight turns without braking, focusing on body position and leaning the bike.",,,,,,,,,,,,,,,,,
,,Flat Out-Power Sprint (30s): Shift into a hard gear and sprint on flat trail segments.,,,,,,,,,,,,,,,,,
,,Recovery (60s): Light coasting/spinning.,,,,,,,,,,,,,,,,,
,,(Repeat cycle 5-6 times).,,,,,,,,,,,,,,,,,
,,Tip: Maintain a loose grip on the handlebars during rough patches to let the front suspension work naturally.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Inline Skating / Rollerblade Speed Intervals,"Warm-up (5 mins): Easy stride on flat pavement, crossover ankle bends, torso twists.",MAIN EXERCISE ROUTINE:,Time-Bound,Functional Fitness,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,Main Workout (20 mins):,,,,,,,,,,,,,,,,,
,,"Interval Set (15 mins): 1 minute maximum pace stride (deep knee bend, long lateral pushes) followed by 1 minute glide/light stride. Complete 7-8 rounds.",,,,,,,,,,,,,,,,,
,,Crossover Acceleration Drills (5 mins): Practice rapid crossover turns in a figure-8 pattern for 30-second bursts to work inner/outer thigh power and balance.,,,,,,,,,,,,,,,,,
,,Cool-down: 5-minute easy rolling stride.,,,,,,,,,,,,,,,,,
,,Tip: Stay low with hips dropped and knees over toes to maximize stride length and push power.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Natural Parkour & Forest Trail Flow,"Warm-up (5 mins): Wrist prep, ankle rotations, dynamic lunges, light trail jog.",MAIN EXERCISE ROUTINE:,Time-Bound,Pilates & Mobility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,Main Workout (20 mins): Complete 4 unbroken 4-minute flow rounds (1 min rest between):,,,,,,,,,,,,,,,,,
,,Log Vaults / Step-Overs: Vault over fallen trees or low obstacles with continuous momentum.,,,,,,,,,,,,,,,,,
,,Boulder Hops: Precision two-footed jumps from stone to stone or log to log for landing control.,,,,,,,,,,,,,,,,,
,,Quadrupedal Movement (QM): Crawl on hands and feet over rough or uneven inclines.,,,,,,,,,,,,,,,,,
,,"Tree-Slam Burpees: Run to a tree, place both hands on trunk, jump feet back into a push-up, jump in, and leap up.",,,,,,,,,,,,,,,,,
,,Tip: Always test log and rock stability before applying full bodyweight power to avoid slipping.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Stand-Up Paddleboard (SUP) Power Sprints,"Warm-up (5 mins): Gentle paddling, switching sides every 5 strokes, torso rotations. (Secure leash and paddle, position yourself in the center of the board.)","Setup: Secure leash and paddle, position yourself in the center of the board.",Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,Main Workout (20 mins):,,,,,,,,,,,,,,,,,
,,"10-Stroke Max Velocity Burst: Dig blade deep into water, drive through core, stroke 10 times as fast as possible on one side, swap, 10 on the other side. Rest 30 seconds. Repeat 5 times.",,,,,,,,,,,,,,,,,
,,"Pyramid Sprints: 30s max effort / 30s easy paddle, 40s effort / 40s easy, 50s effort / 50s easy, scaling back down to 30s.",,,,,,,,,,,,,,,,,
,,360 Pivot Turn Drills: Step back onto the tail to lift the nose and paddle aggressively to execute 3 fast 360-degree turns each direction.,,,,,,,,,,,,,,,,,
,,Tip: Engage your lats and core-reach forward and pull your body to the paddle rather than pulling the paddle through water.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
