activity_id,activity_title,instruction,activity_type,category,subcategory,duration,difficulty,cost,location,age_range,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match
ACT-000011,Perform wrist circles to relieve tension,"While seated, gently rotate your wrists clockwise for 10 seconds, then switch to counterclockwise for another 10 seconds. Repeat as needed to ease tension.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Outdoor,10 to 90,Yes,"Simple, repetitive motion with no time constraints, can be done anywhere, soothing for sensory sensitivity",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000012,Gentle Hip Flexor Lunges,"Stand up and perform a gentle lunge, alternating legs, to stretch your hip flexors. Hold each lunge for a few breaths and switch sides.",Micro,Physical Activity,Stretching,10 min,Tier-1,Free,Indoor,12 to 80,Yes,"Simple and repetitive movement, can be done at own pace, helps with grounding",['Movement'],Solo,Low,"['Calming', 'Energising']","['Anxiety', 'Overwhelmed', 'Neutral', 'Peaceful']"
ACT-000013,Practice a chest opener stretch,"Stand tall, clasp your hands behind your back, and gently lift them upwards while opening your chest. Hold for a few breaths and feel the stretch across your shoulders.",Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Outdoor,12 to 80,Yes,"Simple movement, can be done anywhere, grounding and calming","['Movement', 'Touch']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000014,Butterfly Stretch on the Floor,"Sit on the floor, bring the soles of your feet together, and gently press your knees towards the ground to perform a butterfly stretch.",Micro,Creative Arts,"Drawing, Painting",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple, calming stretch with gentle physical engagement, suitable for a sensory break","['Touch', 'Movement']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000015,Gentle Knee-to-Chest Stretch,"Lie on your back and pull one knee to your chest at a time, holding each stretch for 20 seconds.",Micro,Physical Wellness,Stretching,10 min,Tier-1,Free,Indoor,10 to 90,Yes,"Simple, repetitive movement with calming effect, no complex instructions","['Touch', 'Movement']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000016,Perform a sun salutation sequence,"Sun salutations are a flowing sequence of yoga poses done in rhythm with your breath. Start standing, raise your arms overhead, fold forward, step back into a plank, and flow through to a gentle backbend - repeat 5 times and notice how your body warms up.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Predictable sequence, gentle movement, can be done at your own pace, helps with grounding","['Movement', 'Touch']",Solo,Medium,"['Energising', 'Calming']","['Peaceful', 'Anxiety', 'Overwhelmed', 'Neutral']"
ACT-000017,Balance in Tree Pose,"Tree pose is a yoga balance where you stand on one leg with the other foot pressed against your inner thigh. Hold for one minute, focusing on your breath and posture.",Micro,Fitness & Movement,Yoga,10 min,Tier-1,Free,Indoor,12 to 80,Yes,"Simple pose with focus on balance and breath, can be grounding and calming.","['Movement', 'Touch']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000018,Practice deep breathing and seated meditation,"Find a comfortable seat, close your eyes, and take slow, deep breaths for five minutes. Then, gently transition into a boat pose by sitting on the floor, lifting your legs, and balancing on your sit bones with your arms extended forward.",Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple and repetitive, focuses on breathing and body awareness, can be done in a quiet space","['Touch', 'Movement']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000019,Perform Warrior II Pose,"Warrior II is a yoga pose that strengthens the legs and core while improving focus. Stand with feet wide apart, turn your right foot out, bend your right knee, and extend your arms parallel to the floor. Hold for several breaths, then switch sides.",Micro,Creative Arts,"Drawing, Painting",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple, grounding pose with clear physical cues and calming effects","['Movement', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000020,Try a seated twist for flexibility,"Sit on the floor with your legs crossed, place your right hand on your left knee, and gently twist your torso to the left. Hold for a few breaths, then switch sides.",Micro,Physical Wellness,Yoga,10 min,Tier-1,Free,Indoor,12 to 80,Yes,"Simple movement with clear steps, can be done at your own pace, soothing for the body and mind","['Movement', 'Touch']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Neutral']"
ACT-000021,Cat-Cow Stretch Sequence,"Start on your hands and knees. Inhale as you arch your back, lifting your head and tailbone (Cow Pose), then exhale as you round your spine, tucking your chin and tailbone (Cat Pose). Repeat for 5 breaths, feeling the gentle movement in your spine.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,12 to 90,Yes,"Simple, repetitive movements; calming and grounding; no complex instructions","['Movement', 'Touch']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000022,Practice child's pose for relaxation,"Child's pose is a gentle yoga position where you kneel on the floor, sit back on your heels, and stretch your arms forward on the ground. Hold this pose on a soft surface like a carpet or blanket for a few minutes, focusing on your breath and letting tension melt away.",Micro,Mindfulness & Movement,Yoga,10 min,Tier-1,Free,Indoor,12 to 90,Yes,"Simple, grounding pose with calming effects, no complex instructions","['Touch', 'Movement']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000023,Standing Forward Fold for Tension Relief,"Stand with feet hip-width apart, bend at the hips, and let your upper body hang loose to release tension in your back and shoulders.",Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Outdoor,16 to 80,Yes,"Simple movement, grounding, and calming for sensory overload","['Movement', 'Touch']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000024,Experiment with a half-moon pose,"Half-moon pose is a yoga balance that engages your whole body. Stand on one leg, extend the opposite leg behind you parallel to the floor, and reach the opposite arm towards the ceiling. Hold for 5 breaths and switch sides.",Micro,Creative Arts,"Drawing, Painting",10 min,Tier-2,Free,Outdoor,16 to 80,Partial,"Requires balance and focus, can be grounding and calming","['Movement', 'Touch']",Solo,Medium,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000025,Perfect Your Downward Dog Pose,"Downward dog is a yoga pose that stretches and strengthens the body. Start on all fours, tuck your toes, lift your hips, and press back into an inverted V shape. Focus on aligning your body and breathing deeply for an hour.",Time-Bound,Physical Wellness,Yoga,60 min,Tier-2,Free,Indoor,14 to 80,Yes,"Encourages focus on breath and body awareness, adaptable to individual needs, calming environment","['Movement', 'Touch']",Solo,Medium,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000026,Whip up homemade granola,"Mix 3 cups of oats, 1 cup of mixed nuts, and 1/2 cup of honey in a bowl. Spread on a baking sheet and bake at 350°F for 20 minutes, stirring halfway through. Let cool before enjoying.",Time-Bound,Micro-Movement,"Stretching, Yoga",40 min,Tier-1,Low,Indoor,12 to 80,Yes,"Simple, repetitive steps with a rewarding sensory outcome, no strict timing","['Touch', 'Smell']",Solo,Low,"['Calming', 'Focus']","['Peaceful', 'Boredom', 'Neutral', 'Good']"
ACT-000027,Bake a Simple Bread Loaf,"Mix 3 cups of flour, 1 packet of yeast, 1 teaspoon of salt, and 1 1/2 cups of water in a bowl. Knead until smooth, cover, and let rise for 2 hours. Shape into a loaf and bake at 375°F for 30 minutes.",Time-Bound,Baking & Cooking,"Baking, Cooking",3 hrs,Tier-2,Low,Indoor,12 to 80,Yes,"Involves tactile engagement and a predictable sequence of steps, which can be calming and rewarding.","['Touch', 'Smell']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Boredom', 'Peaceful']"
ACT-000028,Prepare a Hearty Vegetable Soup,"Chop a mix of fresh vegetables like carrots, potatoes, and celery. Add them to a pot with water or broth, season with salt and herbs, and let simmer gently for 30-40 minutes until tender.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",60 min,Tier-1,Low,Indoor,16 to 80,Yes,"Simple, repetitive tasks with a comforting sensory experience, no strict timing","['Touch', 'Smell', 'Sight']",Optional Group,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-000029,Make Your Own Pasta,"Combine 2 cups of flour with 3 large eggs, knead into a smooth dough, roll out thinly, and cut into your favorite pasta shapes.",Time-Bound,Creative Arts,Culinary Arts,60 min,Tier-2,Low,Indoor,12 to 80,Yes,"Involves tactile engagement and repetitive motions, which can be soothing and grounding.","['Touch', 'Sight', 'Smell']",Optional Group,Medium,"['Calming', 'Focus']","['Anxiety', 'Boredom', 'Peaceful', 'Good']"
ACT-000030,Bake Cookies from Cupboard Ingredients,"Preheat your oven to 350F. Mix 1/2 cup softened butter, 1/2 cup sugar, 1 cup flour, and a handful of chocolate chips. Scoop spoonfuls onto a baking sheet and bake for 10-12 minutes until golden.",Time-Bound,Manual Crafting,"Knitting, Woodworking",40 min,Tier-1,Low,Indoor,12 to 80,Yes,"Simple steps, tactile engagement, rewarding outcome, sensory satisfaction from smell and taste","['Touch', 'Smell']",Optional Group,Medium,"['Calming', 'Focus']","['Happy', 'Boredom', 'Peaceful', 'Neutral']"
ACT-000031,Create a colorful salad with seasonal fruits and vegetables,"Chop a mix of seasonal fruits and vegetables like apples, carrots, and spinach. Whisk together 3 tablespoons olive oil, 1 tablespoon vinegar, a pinch of salt, and pepper for a homemade vinaigrette. Toss everything together and enjoy.",Time-Bound,Micro-Movement,"Stretching, Yoga",20 min,Tier-1,Low,Indoor,12 to 80,Yes,"Simple steps, engaging sensory experience, no strict timing, encourages creativity","['Touch', 'Sight', 'Smell']",Optional Group,Low,"['Calming', 'Social Connection']","['Neutral', 'Good', 'Peaceful', 'Boredom']"
ACT-000032,Prepare a traditional risotto,"In a large pan, heat 2 tablespoons of olive oil, add 1 cup of arborio rice and stir until the rice is translucent. Gradually add 4 cups of warm broth, one ladle at a time, stirring continuously until absorbed. Finish with 1/2 cup of freshly grated Parmesan cheese and stir until creamy.",Time-Bound,Baking & Cooking,"Baking, Cooking",60 min,Tier-2,Low,Indoor,18 to 80,Partial,Repetitive stirring can be soothing but requires attention to avoid burning.,"['Touch', 'Smell', 'Sight']",Optional Group,Medium,"['Calming', 'Focus']","['Peaceful', 'Anxiety', 'Boredom']"
ACT-000033,Craft a Simple Fruit Tart,"Make a homemade crust by mixing 1 1/4 cups flour, 1/4 cup sugar, and 1/2 cup butter. Press into a tart pan and bake at 350°F for 15 minutes. Fill with fresh fruit like berries or sliced peaches and enjoy.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",60 min,Tier-2,Low,Indoor,16 to 80,Partial,"Clear steps, tactile engagement, potential sensory overload from baking smells","['Touch', 'Smell', 'Sight']",Optional Group,Medium,"['Calming', 'Focus']","['Anxiety', 'Boredom', 'Peaceful']"
ACT-000034,Make Your Own Pickles,"Slice cucumbers and soak them in a mixture of 1 cup vinegar, 1 cup water, 1 tablespoon salt, and your choice of spices like dill, garlic, or mustard seeds. Let them sit in the fridge for at least 24 hours before tasting.",Long-Term,Creative Arts,Culinary Arts,Multi-day,Tier-1,Low,Indoor,12 to 80,Yes,"Simple, repetitive steps with a satisfying result, minimal sensory overload, and no strict time constraints","['Touch', 'Smell']",Solo,Low,"['Calming', 'Focus']","['Boredom', 'Anxiety', 'Peaceful']"
ACT-000035,Make a Savory Pie with Leftover Vegetables,"Chop leftover vegetables and mix with herbs. Roll out a simple pastry crust, fill with the vegetable mix, fold the edges over, and bake at 375°F (190°C) for 30-40 minutes until golden.",Time-Bound,Manual Crafting,Cooking,3 hrs,Tier-2,Low,Indoor,14 to 80,Partial,"Structured process with creative flexibility, tactile engagement, and a rewarding outcome","['Touch', 'Smell', 'Sight']",Optional Group,Medium,"['Calming', 'Focus']","['Neutral', 'Boredom', 'Anxiety', 'Good']"
ACT-000036,Plant a small herb garden,"Choose a sunny spot in your backyard or gather a few pots. Fill them with soil, plant herb seeds like basil or mint, water gently, and place them where they can soak up the sun.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-1,Low,Outdoor,16 to 80,Yes,"Engages senses with natural elements, repetitive and calming task, no strict time constraints","['Touch', 'Sight', 'Smell']",Solo,Low,"['Calming', 'Focus']","['Peaceful', 'Anxiety', 'Boredom', 'Overwhelmed']"
ACT-000037,Identify and sketch neighborhood trees,"Take a walk around your neighborhood and find five different trees. Sketch each one, paying close attention to the unique shapes of their leaves and the textures of their bark.",Time-Bound,Creative Arts,Nature Crafts,3 hrs,Tier-2,Free,Outdoor,10 to 80,Yes,"Encourages focus on detail, allows for movement and exploration, no strict time limits","['Sight', 'Touch']",Solo,Medium,"['Focus', 'Calming']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000038,Explore a local park and press leaves,"Wander through a local park and collect uniquely shaped leaves and twigs. Once home, place them between sheets of newspaper, stack heavy books on top, and leave them to press for a week. Categorize them by shape or color.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",3 hrs,Tier-1,Free,Outdoor,10 to 80,Yes,"Engages senses gently, allows for focus and creativity, no strict time limits","['Touch', 'Sight']",Solo,Medium,"['Calming', 'Focus']","['Peaceful', 'Boredom', 'Anxiety', 'Neutral']"
ACT-000039,Organize a neighborhood scavenger hunt for native bird species,"Gather a group of friends and explore your neighborhood to spot native bird species. Record your findings in a notebook, noting the colors, sounds, and behaviors of each bird you see.",Time-Bound,Creative Arts,"Drawing, Painting",3 hrs,Tier-2,Free,Outdoor,10 to 80,Partial,"Encourages focus on nature, flexible pacing, potential sensory overload from outdoor environment","['Sight', 'Sound']",Group 2-10,Medium,"['Social Connection', 'Focus']","['Excited', 'Good', 'Peaceful', 'Boredom']"
ACT-000040,Create a Pinecone Bird Feeder,"Take a pinecone, spread peanut butter all over it, then roll it in birdseed. Hang it outside and enjoy watching the birds come to visit.",Time-Bound,Manual Crafting,Nature Crafts,20 min,Tier-1,Low,Outdoor,10 to 80,Yes,"Simple, repetitive steps with a rewarding outcome; gentle sensory experience","['Touch', 'Sight']",Solo,Low,"['Calming', 'Social Connection']","['Peaceful', 'Boredom', 'Anxiety']"
ACT-000041,Skip stones at a lake or river,"Find a flat stone, stand by the water's edge, and flick your wrist to send the stone skimming across the surface. Aim for multiple skips and enjoy the ripple patterns.",Time-Bound,Micro-Movement,"Stretching, Yoga",3 hrs,Tier-1,Free,Outdoor,10 to 80,Yes,"Soothing repetitive motion, calming natural environment, no strict rules or time limits","['Touch', 'Sight', 'Sound']",Optional Group,Medium,"['Calming', 'Focus']","['Peaceful', 'Boredom', 'Anxiety', 'Neutral']"
ACT-000042,Silent Meditative Walk on a Local Trail,"Find a local walking trail and engage in a silent, meditative walk, concentrating solely on surrounding sounds like birdsong, rustling leaves, and distant water flow.",Time-Bound,Baking & Cooking,"Baking, Cooking",40 min,Tier-1,Free,Outdoor,16 to 80,Yes,"Predictable environment, soothing sensory input, encourages mindfulness, no social interaction required","['Sound', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000043,Identify and Sketch Insects in Your Yard,"Spend an afternoon observing insects in your yard. Take a journal and sketch each one you find, noting their colors and patterns.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",3 hrs,Tier-2,Free,Outdoor,10 to 80,Yes,"Flexible timing, encourages focus and mindfulness, allows for sensory exploration","['Sight', 'Touch']",Solo,Low,"['Focus', 'Calming']","['Peaceful', 'Boredom', 'Anxiety']"
ACT-000044,Create a small rock garden with stream stones,"Gather stones from a nearby stream and arrange them in a small garden space or container, focusing on balance and aesthetics.",Time-Bound,Creative Arts,Nature Crafts,40 min,Tier-1,Free,Outdoor,12 to 80,Yes,"Encourages mindfulness, tactile engagement, and creative expression without strict rules","['Touch', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Peaceful', 'Anxiety', 'Boredom', 'Overwhelmed']"
ACT-000045,Prepare for a Day of Hiking,"Choose a trail with varied terrain, pack essentials like water, snacks, and a map, and wear sturdy shoes. Spend the day exploring and enjoying the natural surroundings.",Time-Bound,Outdoor Activities,Hiking,3 hrs,Tier-2,Low,Outdoor,18 to 70,Partial,"Can be adapted for sensory preferences, offers physical movement and nature exposure","['Sight', 'Movement', 'Smell']",Optional Group,High,"['Energising', 'Calming']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Good']"
ACT-000046,Draw a detailed self-portrait using a pencil,"Stand in front of a bathroom mirror with a pencil and paper, and draw your face as you see it, focusing on the details like the curve of your lips and the shape of your eyes.",Time-Bound,Micro-Movement,"Stretching, Yoga",40 min,Tier-2,Free,Indoor,16 to 80,Partial,May require focus and patience; can be calming but might be challenging for those sensitive to self-image,"['Sight', 'Touch']",Solo,Low,"['Focus', 'Calming']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000047,Craft your own thank-you cards,"Cut colored paper into card shapes, decorate with pens, and write personalized messages inside to express gratitude.",Time-Bound,Creative Arts,Paper Crafts,40 min,Tier-1,Low,Indoor,10 to 80,Yes,"Creative expression with low pressure, tactile engagement, and a focus on positive emotions","['Touch', 'Sight']",Solo,Low,"['Calming', 'Social Connection']","['Peaceful', 'Good', 'Boredom', 'Anxiety']"
ACT-000048,Create a mood collage from old magazines,Cut out colors and shapes from old magazines or newspapers that match your mood. Arrange and glue them onto a sheet of paper to create a collage that expresses how you feel.,Time-Bound,Creative Arts,Collage Making,40 min,Tier-1,Free,Indoor,12 to 80,Yes,"Flexible process, encourages expression, can be done at own pace, minimal sensory overload","['Touch', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000049,Paint a landscape with watercolors,"Set up your watercolor paints and paper, then look out at the view from your backyard or a nearby park. Sketch the basic shapes lightly with a pencil, then fill in with watercolor, letting the colors blend naturally.",Time-Bound,Creative Arts,"Drawing, Painting",60 min,Tier-2,Low,Outdoor,12 to 80,Partial,"Flexible creative expression, can be done at own pace, potential for sensory overload with colors","['Sight', 'Touch']",Solo,Low,"['Calming', 'Focus']","['Peaceful', 'Anxiety', 'Boredom']"
ACT-000050,Design bookmarks with craft paper,"Cut craft paper into bookmark-sized strips, decorate with markers, stickers, or stamps, and punch a hole at the top to add a ribbon. Gift them to friends to brighten their day.",Time-Bound,Manual Crafting,"Knitting, Woodworking",40 min,Tier-1,Low,Indoor,10 to 80,Yes,"Creative freedom, tactile engagement, and no strict time limits make it accessible and enjoyable.","['Touch', 'Sight']",Optional Group,Low,"['Calming', 'Social Connection']","['Peaceful', 'Good', 'Boredom', 'Anxiety']"
ACT-000051,Paint an Intricate Mandala,"Choose a large canvas or wall, sketch a mandala design with a pencil, and spend the day painting it with vibrant colors. Take breaks to step back and appreciate your progress.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-2,Low,Indoor,16 to 80,Partial,"Engages focus and creativity, but may require patience and fine motor skills.","['Sight', 'Touch']",Solo,Medium,"['Focus', 'Calming']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000052,Create homemade candles with wax scraps,"Gather wax scraps and clean glass jars. Melt the wax in a double boiler, pour it into the jars, and insert a wick. Let them cool and enjoy your new candles.",Time-Bound,Baking & Cooking,"Baking, Cooking",60 min,Tier-2,Low,Indoor,18 to 80,Partial,"Involves repetitive steps and tactile engagement, but requires attention to safety with hot wax.","['Touch', 'Sight', 'Smell']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000053,Fold paper cranes for a hanging decoration,"Start with a square piece of paper, fold it into a crane by following a simple origami guide, and repeat until you have a series. String them together to create a beautiful hanging decoration.",Time-Bound,Creative Arts,Paper Crafts,40 min,Tier-2,Free,Indoor,12 to 80,Yes,"Repetitive folding can be soothing, and the activity allows for focus without time pressure.","['Touch', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000054,Carve a small sculpture from soap,Take a bar of soap and use simple tools like a butter knife or a spoon to carve a small sculpture. Let your hands guide you as you shape the soap into something new.,Time-Bound,Creative Arts,"Drawing, Painting",40 min,Tier-2,Low,Indoor,12 to 80,Yes,"Tactile activity with simple, repetitive motions; can be done at your own pace with no pressure","['Touch', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Boredom', 'Peaceful', 'Overwhelmed']"
ACT-000055,Knit a Creative Scarf with Leftover Yarn,"Gather leftover yarn and knitting needles, cast on 30 stitches, and knit in any pattern you like until the scarf reaches your desired length. Experiment with colors and textures for a unique piece.",Long-Term,Manual Crafting,Knitting,Multi-day,Tier-2,Low,Indoor,12 to 80,Yes,"Repetitive motion can be soothing, allows for creative expression, no strict time constraints","['Touch', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Boredom', 'Peaceful', 'Overwhelmed']"
ACT-000056,Ankle Circles for Joint Mobility,"Stand up and perform 15 ankle circles on each foot, moving slowly and deliberately to enhance joint mobility.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,10 to 90,Yes,"Simple, repetitive motion with no time pressure, can be done seated if needed.",['Movement'],Solo,Low,['Calming'],"['Neutral', 'Peaceful', 'Boredom']"
ACT-000057,Try a seated spinal twist,"Sit comfortably on a chair, place your right hand on the back of the chair, and gently twist your torso to the right. Hold for a few breaths, then switch sides to release tension in your back.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple movement, can be done at own pace, minimal sensory input",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000058,Balance on One Leg,"Stand on one leg for 30 seconds, then switch to the other leg. Focus on a point in front of you to help maintain balance.",Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Outdoor,10 to 80,Yes,"Simple, repetitive task with a focus point can be grounding and calming.","['Movement', 'Sight']",Solo,Low,"['Focus', 'Calming']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Neutral']"
ACT-000059,Gentle Neck Rolls,"While seated, gently tilt your head side to side, then roll your neck in a slow circle, feeling the stretch and release of tension.",Micro,Creative Arts,"Drawing, Painting",10 min,Tier-1,Free,Outdoor,16 to 80,Yes,"Simple, repetitive motion with calming effect, can be done at your own pace",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000060,Calf Raises on a Step,"Stand with the balls of your feet on the edge of a step, heels hanging off. Raise your heels as high as possible, then lower them below the step level. Repeat 10 times.",Micro,Tactile & Sensory,"Grounding, Sensory Play",10 min,Tier-1,Free,Indoor,12 to 80,Yes,"Simple repetitive motion, grounding through physical sensation, no complex instructions","['Touch', 'Movement']",Solo,Medium,"['Energising', 'Focus']","['Neutral', 'Boredom', 'Anxiety', 'Peaceful']"
